#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
168,Vietnam,"1,361",+3,35,,"1,209",+8,117,,14,0.4,"1,339,465","13,708","97,712,328",Asia,"71,795","2,791,781",73
169,Liechtenstein,"1,339",+21,17,+1,"1,169",+20,153,15,"35,075",445,"14,040","367,780","38,175",Europe,29,"2,246",3
170,Sint Maarten,"1,092",+20,25,,976,+3,91,6,"25,346",580,"7,893","183,205","43,083",North America,39,"1,723",5
171,Gibraltar,"1,038",+3,5,,960,+6,73,,"30,813",148,"93,595","2,778,371","33,687",Europe,32,"6,737",0
172,Sao Tome and Principe,997,,17,,937,+3,43,,"4,514",77,"7,498","33,946","220,880",Africa,222,"12,993",29
173,Mongolia,819,+7,,,365,+7,454,3,248,,"216,658","65,641","3,300,667",Asia,"4,030",,15
174,Turks and Caicos,751,+1,6,,733,+13,12,1,"19,286",154,"8,958","230,046","38,940",North America,52,"6,490",4
175,Saint Martin,717,,12,,641,,64,7,"18,411",308,"7,149","183,567","38,945",North America,54,"3,245",5
176,Diamond Princess,712,,13,,699,,0,,,,,,,,,,
177,Burundi,692,+3,1,,575,,116,,57,0.08,"62,215","5,168","12,038,832",Africa,"17,397","12,038,832",194
178,Taiwan,686,+1,7,,572,+2,107,,29,0.3,"111,230","4,667","23,835,290",Asia,"34,745","3,405,041",214
179,Papua New Guinea,669,,7,,597,,65,,74,0.8,"32,221","3,573","9,018,661",Australia/Oceania,"13,481","1,288,380",280
180,Monaco,630,+9,3,,570,+7,57,4,"16,006",76,"51,953","1,319,911","39,361",Europe,62,"13,120",1
181,Comoros,615,+2,7,,590,+4,18,,701,8,,,"877,412",Africa,"1,427","125,345",
182,Eritrea,594,+17,,,498,,96,,167,,"21,655","6,070","3,567,272",Africa,"6,006",,165
183,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,446,459",Africa,"118,755","2,878,403",
