#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
170,Sint Maarten,"1,225",+24,26,,"1,070",+12,129,4,"28,426",603,"8,306","192,737","43,095",North America,35,"1,658",5
171,Gibraltar,"1,072",+2,5,,"1,028",+6,39,1,"31,823",148,"101,865","3,023,957","33,686",Europe,31,"6,737",0
172,Sao Tome and Principe,"1,009",,17,,947,,45,,"4,566",77,"7,498","33,931","220,980",Africa,219,"12,999",29
173,Mongolia,906,+1,,,384,,522,6,274,,"405,013","122,658","3,301,967",Asia,"3,645",,8
174,Saint Martin,801,,12,,675,,114,7,"20,559",308,"7,838","201,176","38,961",North America,49,"3,247",5
175,Turks and Caicos,769,,6,,741,,22,1,"19,742",154,"10,461","268,561","38,952",North America,51,"6,492",4
176,Taiwan,733,+8,7,,601,+6,125,,31,0.3,"114,742","4,814","23,836,347",Asia,"32,519","3,405,192",208
177,Burundi,728,+5,1,,640,,87,,60,0.08,"70,060","5,815","12,047,578",Africa,"16,549","12,047,578",172
178,Papua New Guinea,720,,8,,601,,111,,80,0.9,"32,221","3,571","9,022,835",Australia/Oceania,"12,532","1,127,854",280
179,Diamond Princess,712,,13,,699,,0,,,,,,,,,,
180,Eritrea,711,+55,,,564,+39,147,,199,,"23,693","6,640","3,568,479",Africa,"5,019",,151
181,Monaco,668,+9,3,,596,+2,69,4,"16,968",76,"51,953","1,319,676","39,368",Europe,59,"13,123",1
182,Comoros,628,+11,7,,606,+1,15,,715,8,,,"877,869",Africa,"1,398","125,410",
183,Faeroe Islands,525,+5,,,506,+3,19,,"10,726",,"175,642","3,588,412","48,947",Europe,93,,0
